model,variable,rolling_years,cluster_method,optimize,timestamp,clustering_params,cluster_variable,n_clusters_from_log,n_clustered_points,noise_percent,n_noise_points,n_clusters,cluster_ids,cluster_id,time_duration,time_duration_timesteps,time_end,time_end_timestep,time_iqr_50,time_iqr_68,time_iqr_90,time_mean,time_mean_shift_magnitude,time_median,time_median_activity_time,time_membership_peak,time_membership_peak_density,time_pooled_median_transition_time,time_pooled_std_transition_time,time_start,time_start_timestep,time_std,time_steepest_gradient,time_steepest_gradient_timestep,time_value_at_end,time_value_at_iqr_90_end,time_value_at_iqr_90_start,time_value_at_start,time_value_change,time_value_change_iqr_90,general_stats_error
GFDL-ESM4,treeFrac,1,SpaceTimeDBSCAN,False,2026-07-22T01:31:06.004975,"{'spatial_eps': 600, 'temporal_eps': 0.9, 'min_samples': 10}",treeFrac_dts_cluster,4,138,36.2,50,4,"[0, 1, 2, 3]",0,1.1903357188788846,39,3.903695270543949,145,"(3.073911798873951, 3.521560095353152)","(2.982010006807002, 3.6792374724354886)","(2.7133595516650644, 3.7977065797741147)",3.3693924246705262,-28.035648345947266,3.392357049355894,3.392357049355894,3.199395498428885,0.0035561877667140826,3.3276592514013146,0.30929794123625554,2.7133595516650644,106,0.3284181976655292,3.5535951527294856,132.0,13.827052116394043,15.453858375549316,46.121952056884766,46.121952056884766,-32.29489994049072,-30.66809368133545,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,treeFrac,1,SpaceTimeDBSCAN,False,2026-07-22T01:31:06.004975,"{'spatial_eps': 600, 'temporal_eps': 0.9, 'min_samples': 10}",treeFrac_dts_cluster,4,138,36.2,50,4,"[0, 1, 2, 3]",1,2.2196512648723115,78,2.5330658590629014,100,"(0.9568171085199424, 1.7652837048469792)","(0.8750234013934346, 2.2520251727821687)","(0.3134145941905899, 2.471837222857971)",1.3947774494846654,-30.05104160308838,1.4176887667134395,1.4176887667134395,2.2520251727821687,0.002844950213371266,1.46087538987058,0.6801166699820279,0.3134145941905899,22,0.6025405990020096,1.5195510213519015,67.0,0.21285192668437958,0.28636449575424194,34.28324508666992,34.28324508666992,-34.07039315998554,-33.99688059091568,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,treeFrac,1,SpaceTimeDBSCAN,False,2026-07-22T01:31:06.004975,"{'spatial_eps': 600, 'temporal_eps': 0.9, 'min_samples': 10}",treeFrac_dts_cluster,4,138,36.2,50,4,"[0, 1, 2, 3]",2,1.463987046464581,47,3.521560095353152,132,"(2.2520251727821687, 2.563438438599917)","(2.2199379545618854, 2.7133595516650644)","(2.057573048888571, 3.521560095353152)",2.5029318559443596,-21.608235359191895,2.4254449551917787,2.4254449551917787,2.7133595516650644,0.001422475106685633,2.4409675701536457,0.35380109925998027,2.057573048888571,85,0.38155209450588834,2.315708458128711,92.0,2.6980581283569336,2.6980581283569336,30.923343658447266,30.923343658447266,-28.225285530090332,-28.225285530090332,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,treeFrac,1,SpaceTimeDBSCAN,False,2026-07-22T01:31:06.004975,"{'spatial_eps': 600, 'temporal_eps': 0.9, 'min_samples': 10}",treeFrac_dts_cluster,4,138,36.2,50,4,"[0, 1, 2, 3]",3,0.42868311126306935,15,3.9502432066162214,147,"(3.521560095353152, 3.6483198958609364)","(3.521560095353152, 3.8786824133397886)","(3.521560095353152, 3.9502432066162214)",3.723167613220414,-13.943008422851562,3.6483198958609364,3.6483198958609364,3.521560095353152,0.002844950213371266,3.5853138038307293,0.15901884104202033,3.521560095353152,132,0.16325478372878516,3.5535951527294856,132.0,25.449920654296875,25.449920654296875,41.52529525756836,41.52529525756836,-16.075374603271484,-16.075374603271484,'GeneralStats' object has no attribute 'all_stats'
