model,variable,rolling_years,cluster_method,optimize,timestamp,clustering_params,cluster_variable,n_clusters_from_log,n_clustered_points,noise_percent,n_noise_points,n_clusters,cluster_ids,cluster_id,time_duration,time_duration_timesteps,time_end,time_end_timestep,time_iqr_50,time_iqr_68,time_iqr_90,time_mean,time_mean_shift_magnitude,time_median,time_median_activity_time,time_membership_peak,time_membership_peak_density,time_pooled_median_transition_time,time_pooled_std_transition_time,time_start,time_start_timestep,time_std,time_steepest_gradient,time_steepest_gradient_timestep,time_value_at_end,time_value_at_iqr_90_end,time_value_at_iqr_90_start,time_value_at_start,time_value_change,time_value_change_iqr_90,general_stats_error
GFDL-ESM4,treeFrac,1,SpaceTimeDBSCAN,False,2026-07-22T01:31:51.575344,"{'spatial_eps': 500, 'temporal_eps': 0.9, 'min_samples': 10}",treeFrac_dts_cluster,3,138,51.4,71,3,"[0, 1, 2]",0,1.9386105785915788,69,2.2520251727821687,91,"(0.9568171085199424, 1.7652837048469792)","(0.8750234013934346, 2.18770030336168)","(0.3134145941905899, 2.2520251727821687)",1.2840100403370882,-30.50137996673584,1.3039969672736902,1.3039969672736902,2.2520251727821687,0.002844950213371266,1.4902132056112407,0.6301130894901641,0.3134145941905899,22,0.5141044241407076,1.5195510213519015,67.0,1.7360862493515015,1.7360862493515015,31.93609619140625,31.93609619140625,-30.20000994205475,-30.20000994205475,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,treeFrac,1,SpaceTimeDBSCAN,False,2026-07-22T01:31:51.575344,"{'spatial_eps': 500, 'temporal_eps': 0.9, 'min_samples': 10}",treeFrac_dts_cluster,3,138,51.4,71,3,"[0, 1, 2]",1,1.0418014735518,34,3.903695270543949,145,"(3.199395498428885, 3.6483198958609364)","(2.982010006807002, 3.6792374724354886)","(2.861893796992149, 3.7977065797741147)",3.424393046688461,-23.026039123535156,3.4085472390756877,3.4085472390756877,3.3276592514013146,0.0021337126600284497,3.3599851996569328,0.2965627681473758,2.861893796992149,111,0.3061864814831512,3.199395498428885,121.0,13.827052116394043,15.453858375549316,42.01304626464844,42.01304626464844,-28.185994148254395,-26.55918788909912,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,treeFrac,1,SpaceTimeDBSCAN,False,2026-07-22T01:31:51.575344,"{'spatial_eps': 500, 'temporal_eps': 0.9, 'min_samples': 10}",treeFrac_dts_cluster,3,138,51.4,71,3,"[0, 1, 2]",2,0.7508477081873366,25,3.9502432066162214,147,"(3.4570888520796075, 3.617032454931973)","(3.199395498428885, 3.8786824133397886)","(3.199395498428885, 3.9502432066162214)",3.610331773801509,-18.7053165435791,3.617032454931973,3.617032454931973,3.521560095353152,0.0035561877667140826,3.521560095353152,0.21228190150544352,3.199395498428885,122,0.23581841404336545,3.617032454931973,134.0,25.449920654296875,25.449920654296875,50.72721862792969,50.72721862792969,-25.277297973632812,-25.277297973632812,'GeneralStats' object has no attribute 'all_stats'
