model,variable,cluster_method,optimize,optimize_objective,optimize_params,optimize_n_trials,best_trial,best_score,best_spatial_eps,best_temporal_eps,best_min_samples,cluster_variable,n_clusters_from_log,n_clustered_points,noise_percent,n_noise_points,n_clusters,cluster_ids,cluster_id,time_duration,time_duration_timesteps,time_end,time_end_timestep,time_iqr_50,time_iqr_68,time_iqr_90,time_mean,time_mean_shift_magnitude,time_median,time_median_activity_time,time_membership_peak,time_membership_peak_density,time_pooled_median_transition_time,time_pooled_std_transition_time,time_start,time_start_timestep,time_std,time_steepest_gradient,time_steepest_gradient_timestep,time_value_at_end,time_value_at_iqr_90_end,time_value_at_iqr_90_start,time_value_at_start,time_value_change,time_value_change_iqr_90,general_stats_error
TaiESM1,cVeg,SpaceTimeDBSCAN,True,combined_spatial_nonlinearity,"{'spatial_eps': (300.0, 1000.0), 'temporal_eps': (0.1, 0.8), 'min_samples': (9, 50)}",1000,48,1.0849,706.9628683930243,0.19928782636716466,9,cVeg_dts_cluster,3,100,32.0,32,3,"[0, 1, 2]",0,0.5437040576359209,11,3.535006886661961,94,"(3.2344321299806893, 3.3838147312640103)","(3.2344321299806893, 3.434052404324973)","(3.0875721502936244, 3.4844594708951035)",3.280888600472508,-8.75533390045166,3.283975544328257,3.283975544328257,3.2344321299806893,0.00946969696969697,3.3337787429886134,0.12074965962704981,2.99130282902604,83,0.16413974285448052,3.3838147312640103,90.0,9.220264434814453,9.481643676757812,18.132732391357422,19.57644271850586,-10.356178283691406,-8.65108871459961,'GeneralStats' object has no attribute 'all_stats'
TaiESM1,cVeg,SpaceTimeDBSCAN,True,combined_spatial_nonlinearity,"{'spatial_eps': (300.0, 1000.0), 'temporal_eps': (0.1, 0.8), 'min_samples': (9, 50)}",1000,48,1.0849,706.9628683930243,0.19928782636716466,9,cVeg_dts_cluster,3,100,32.0,32,3,"[0, 1, 2]",1,0.3229431598529118,6,4.983219297754431,122,"(4.766799916042032, 4.928770646810392)","(4.660276137901519, 4.928770646810392)","(4.660276137901519, 4.983219297754431)",4.83901928802743,-3.849397659301758,4.847524864828102,4.847524864828102,4.928770646810392,0.004734848484848485,4.874525231666837,0.09817767859870546,4.660276137901519,116,0.10615745374036864,4.874525231666837,119.0,10.157689094543457,10.157689094543457,15.0374755859375,15.0374755859375,-4.879786491394043,-4.879786491394043,'GeneralStats' object has no attribute 'all_stats'
TaiESM1,cVeg,SpaceTimeDBSCAN,True,combined_spatial_nonlinearity,"{'spatial_eps': (300.0, 1000.0), 'temporal_eps': (0.1, 0.8), 'min_samples': (9, 50)}",1000,48,1.0849,706.9628683930243,0.19928782636716466,9,cVeg_dts_cluster,3,100,32.0,32,3,"[0, 1, 2]",2,0.25537162751680853,5,4.399343192636536,111,"(4.194792068368201, 4.296744327004035)","(4.1439715651197275, 4.347946202906257)","(4.1439715651197275, 4.399343192636536)",4.271416986945222,-4.727958679199219,4.2712244463203035,4.2712244463203035,4.245704565636572,0.003787878787878788,4.245704565636572,0.05241536106618663,4.1439715651197275,106,0.08721444017803541,4.296744327004035,108.0,7.701209545135498,7.701209545135498,13.173194885253906,13.173194885253906,-5.471985340118408,-5.471985340118408,'GeneralStats' object has no attribute 'all_stats'
