model,variable,rolling_years,cluster_method,optimize,timestamp,optimize_objective,optimize_params,optimize_n_trials,best_trial,best_score,best_spatial_eps,best_temporal_eps,best_min_samples,cluster_variable,n_clusters_from_log,n_clustered_points,noise_percent,n_noise_points,n_clusters,cluster_ids,cluster_id,time_duration,time_duration_timesteps,time_end,time_end_timestep,time_iqr_50,time_iqr_68,time_iqr_90,time_mean,time_mean_shift_magnitude,time_median,time_median_activity_time,time_membership_peak,time_membership_peak_density,time_pooled_median_transition_time,time_pooled_std_transition_time,time_start,time_start_timestep,time_std,time_steepest_gradient,time_steepest_gradient_timestep,time_value_at_end,time_value_at_iqr_90_end,time_value_at_iqr_90_start,time_value_at_start,time_value_change,time_value_change_iqr_90,general_stats_error
GFDL-ESM4,treeFrac,10,SpaceTimeDBSCAN,True,2026-07-21T03:15:04.210720,mean_spatial_autocorrelation,"{'spatial_eps': (300.0, 2000.0), 'temporal_eps': (0.5, 2.0), 'min_samples': (10, 25)}",3000,2005,0.7976,478.1942091221907,0.7770786330650528,10,treeFrac_dts_cluster,3,82,40.2,33,3,"[0, 1, 2]",0,1.135605500585882,37,3.878682413339959,139,"(2.9820100068071724, 3.489376554383739)","(2.9216776392626116, 3.553595152729656)","(2.802440810942983, 3.6170324549322004)",3.313381351648305,-23.930587768554688,3.3923570493561215,3.3923570493561215,2.9216776392626116,0.004166666666666667,3.2954601233221297,0.28853266357798507,2.743076912754077,102,0.30170833279907894,3.878682413339959,138.0,17.78120231628418,28.744361877441406,48.354591369628906,48.093299865722656,-30.312097549438477,-19.6102294921875,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,treeFrac,10,SpaceTimeDBSCAN,True,2026-07-21T03:15:04.210720,mean_spatial_autocorrelation,"{'spatial_eps': (300.0, 2000.0), 'temporal_eps': (0.5, 2.0), 'min_samples': (10, 25)}",3000,2005,0.7976,478.1942091221907,0.7770786330650528,10,treeFrac_dts_cluster,3,82,40.2,33,3,"[0, 1, 2]",1,1.1298566393080591,37,2.2520251727823393,86,"(1.5195510213521288, 2.1877003033619076)","(1.3745021435564695, 2.2520251727823393)","(1.1221685334742801, 2.2520251727823393)",1.7711467037768158,-31.076603889465332,1.7973176583978727,1.7973176583978727,2.2520251727823393,0.0020833333333333333,1.7973176583978727,0.3536232541037052,1.1221685334742801,49,0.36005651915682996,1.6095602296699099,65.0,4.639039993286133,4.639039993286133,47.49251174926758,47.49251174926758,-42.853471755981445,-42.853471755981445,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,treeFrac,10,SpaceTimeDBSCAN,True,2026-07-21T03:15:04.210720,mean_spatial_autocorrelation,"{'spatial_eps': (300.0, 2000.0), 'temporal_eps': (0.5, 2.0), 'min_samples': (10, 25)}",3000,2005,0.7976,478.1942091221907,0.7770786330650528,10,treeFrac_dts_cluster,3,82,40.2,33,3,"[0, 1, 2]",2,0.7594117829829088,25,3.2312490058410503,118,"(2.593663723757061, 3.136241209625666)","(2.502535300570287, 3.136241209625666)","(2.4718372228581416, 3.2312490058410503)",2.8042408036706545,-17.51696014404297,2.728218232209656,2.728218232209656,3.136241209625666,0.0020833333333333333,2.8024853548732267,0.26366358665456635,2.4718372228581416,93,0.2566597629398293,2.8917292279914477,106.0,50.2894401550293,50.2894401550293,71.9249267578125,71.9249267578125,-21.635486602783203,-21.635486602783203,'GeneralStats' object has no attribute 'all_stats'
