model,variable,rolling_years,cluster_method,optimize,timestamp,clustering_params,cluster_variable,n_clusters_from_log,n_clustered_points,noise_percent,n_noise_points,n_clusters,cluster_ids,cluster_id,time_duration,time_duration_timesteps,time_end,time_end_timestep,time_iqr_50,time_iqr_68,time_iqr_90,time_mean,time_mean_shift_magnitude,time_median,time_median_activity_time,time_membership_peak,time_membership_peak_density,time_pooled_median_transition_time,time_pooled_std_transition_time,time_start,time_start_timestep,time_std,time_steepest_gradient,time_steepest_gradient_timestep,time_value_at_end,time_value_at_iqr_90_end,time_value_at_iqr_90_start,time_value_at_start,time_value_change,time_value_change_iqr_90,general_stats_error
GFDL-ESM4,treeFrac,1,SpaceTimeDBSCAN,False,2026-07-22T01:19:41.574758,"{'spatial_eps': 500, 'temporal_eps': 1.0, 'min_samples': 10}",treeFrac_dts_cluster,4,138,40.6,56,4,"[0, 1, 2, 3]",0,1.0418014735518,34,3.903695270543949,145,"(3.1677201620158257, 3.6483198958609364)","(2.982010006807002, 3.6792374724354886)","(2.861893796992149, 3.7977065797741147)",3.4072815210436187,-23.821157455444336,3.392357049355894,3.392357049355894,3.3599851996569328,0.002844950213371266,3.3599851996569328,0.2883208097385852,2.861893796992149,111,0.30265394598233913,3.1677201620158257,120.0,13.71845531463623,15.085590362548828,41.259185791015625,41.259185791015625,-27.540730476379395,-26.173595428466797,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,treeFrac,1,SpaceTimeDBSCAN,False,2026-07-22T01:19:41.574758,"{'spatial_eps': 500, 'temporal_eps': 1.0, 'min_samples': 10}",treeFrac_dts_cluster,4,138,40.6,56,4,"[0, 1, 2, 3]",1,2.411066280603052,91,2.471837222857971,98,"(0.9568171085199424, 1.7652837048469792)","(0.5352402042088897, 2.2520251727821687)","(0.3134145941905899, 2.2520251727821687)",1.2824004078115754,-26.17559814453125,1.3039969672736902,1.3039969672736902,2.2520251727821687,0.002844950213371266,1.4902132056112407,0.6984633644186908,0.06077094225491919,7,0.6102628898814566,1.5195510213519015,67.0,0.2635602653026581,1.7360862493515015,31.93609619140625,34.786373138427734,-34.522812873125076,-30.20000994205475,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,treeFrac,1,SpaceTimeDBSCAN,False,2026-07-22T01:19:41.574758,"{'spatial_eps': 500, 'temporal_eps': 1.0, 'min_samples': 10}",treeFrac_dts_cluster,4,138,40.6,56,4,"[0, 1, 2, 3]",2,1.428381941299051,46,3.6483198958609364,136,"(2.3786971643513084, 2.7133595516650644)","(2.2520251727821687, 3.521560095353152)","(2.2199379545618854, 3.6483198958609364)",2.6620065406415963,-19.63910484313965,2.4564023965058084,2.4564023965058084,2.7133595516650644,0.001422475106685633,2.4564023965058084,0.4381525335228949,2.2199379545618854,90,0.48128388193090715,2.5936637237568902,101.0,5.0949625968933105,5.0949625968933105,29.374774932861328,29.374774932861328,-24.279812335968018,-24.279812335968018,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,treeFrac,1,SpaceTimeDBSCAN,False,2026-07-22T01:19:41.574758,"{'spatial_eps': 500, 'temporal_eps': 1.0, 'min_samples': 10}",treeFrac_dts_cluster,4,138,40.6,56,4,"[0, 1, 2, 3]",3,0.7508477081873366,25,3.9502432066162214,147,"(3.4570888520796075, 3.617032454931973)","(3.199395498428885, 3.8786824133397886)","(3.199395498428885, 3.9502432066162214)",3.604000420124938,-17.446632385253906,3.5692962751425625,3.5692962751425625,3.521560095353152,0.002844950213371266,3.521560095353152,0.23003962351662416,3.199395498428885,122,0.25416158153152235,3.92757422343999,145.0,35.94134521484375,35.94134521484375,52.57587432861328,52.57587432861328,-16.63452911376953,-16.63452911376953,'GeneralStats' object has no attribute 'all_stats'
