model,variable,cluster_method,optimize,timestamp,optimize_objective,optimize_params,optimize_n_trials,best_trial,best_score,best_spatial_eps,best_temporal_eps,best_min_samples,cluster_variable,n_clusters_from_log,n_clustered_points,noise_percent,n_noise_points,n_clusters,cluster_ids,cluster_id,time_duration,time_duration_timesteps,time_end,time_end_timestep,time_iqr_50,time_iqr_68,time_iqr_90,time_mean,time_mean_shift_magnitude,time_median,time_median_activity_time,time_membership_peak,time_membership_peak_density,time_pooled_median_transition_time,time_pooled_std_transition_time,time_start,time_start_timestep,time_std,time_steepest_gradient,time_steepest_gradient_timestep,time_value_at_end,time_value_at_iqr_90_end,time_value_at_iqr_90_start,time_value_at_start,time_value_change,time_value_change_iqr_90,general_stats_error
GFDL-ESM4,treeFrac,SpaceTimeDBSCAN,True,2026-07-18T20:51:06.096200,mean_spatial_autocorrelation,"{'spatial_eps': (300.0, 1000.0), 'temporal_eps': (0.2, 0.8), 'min_samples': (9, 50)}",1000,739,0.6256,901.9452321506891,0.26956575337595257,11,treeFrac_dts_cluster,4,171,32.2,55,4,"[0, 1, 2, 3]",0,0.7042997721149504,23,3.9036952705440626,145,"(3.5215600953533226, 3.7977065797742853)","(3.3599851996571033, 3.7977065797742853)","(3.327659251401485, 3.878682413339959)",3.565754688249068,-11.536361694335938,3.553595152729656,3.553595152729656,3.7977065797742853,0.011458333333333333,3.709715317270195,0.18839532995877037,3.199395498429112,122,0.21574960485355757,3.3923570493561215,127.0,36.108707427978516,36.78468322753906,51.50423049926758,50.16642761230469,-14.057720184326172,-14.719547271728516,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,treeFrac,SpaceTimeDBSCAN,True,2026-07-18T20:51:06.096200,mean_spatial_autocorrelation,"{'spatial_eps': (300.0, 1000.0), 'temporal_eps': (0.2, 0.8), 'min_samples': (9, 50)}",1000,739,0.6256,901.9452321506891,0.26956575337595257,11,treeFrac_dts_cluster,4,171,32.2,55,4,"[0, 1, 2, 3]",1,0.8366382647812998,41,0.8479241203519905,44,"(0.2375665584888793, 0.5848865886015915)","(0.18470956610593703, 0.5848865886015915)","(0.15126336179577038, 0.6102123594708928)",0.3774032768029596,-1.725311279296875,0.3539527805693865,0.3539527805693865,0.5848865886015915,0.011458333333333333,0.36444427032344606,0.18091081378821058,0.011285855570690728,3,0.20698891153316729,0.0347444212731034,4.0,0.16909117996692657,0.20849931240081787,0.40352389216423035,0.8976126313209534,-0.7285214513540268,-0.19502457976341248,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,treeFrac,SpaceTimeDBSCAN,True,2026-07-18T20:51:06.096200,mean_spatial_autocorrelation,"{'spatial_eps': (300.0, 1000.0), 'temporal_eps': (0.2, 0.8), 'min_samples': (9, 50)}",1000,739,0.6256,901.9452321506891,0.26956575337595257,11,treeFrac_dts_cluster,4,171,32.2,55,4,"[0, 1, 2, 3]",2,0.3900565741342348,13,2.8618937969923763,111,"(2.533065859063072, 2.743076912754077)","(2.4718372228581416, 2.8618937969923763)","(2.4718372228581416, 2.8618937969923763)",2.6678024518251298,-17.15121078491211,2.6984704596415554,2.6984704596415554,2.533065859063072,0.003125,2.683581367617876,0.13071417078550543,2.4718372228581416,98,0.13052358577387682,2.6237504545367756,102.0,53.10878372192383,53.10878372192383,74.95587921142578,74.95587921142578,-21.847095489501953,-21.847095489501953,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,treeFrac,SpaceTimeDBSCAN,True,2026-07-18T20:51:06.096200,mean_spatial_autocorrelation,"{'spatial_eps': (300.0, 1000.0), 'temporal_eps': (0.2, 0.8), 'min_samples': (9, 50)}",1000,739,0.6256,901.9452321506891,0.26956575337595257,11,treeFrac_dts_cluster,4,171,32.2,55,4,"[0, 1, 2, 3]",3,0.33750170143673586,11,3.199395498429112,122,"(2.9820100068071724, 3.1677201620159963)","(2.9216776392626116, 3.199395498429112)","(2.8618937969923763, 3.199395498429112)",3.034434817063565,-7.792154312133789,3.027960902840647,3.027960902840647,3.0739117988741214,0.0020833333333333333,3.0739117988741214,0.10188632793961186,2.8618937969923763,111,0.12367186904048828,2.8917292279914477,111.0,16.0144100189209,16.0144100189209,22.314096450805664,22.314096450805664,-6.299686431884766,-6.299686431884766,'GeneralStats' object has no attribute 'all_stats'
