model,variable,rolling_years,shift_method_name,cluster_method_name,method,shift_direction,shift_selection,optimize,optimize_params,optimize_objective,optimize_direction,optimize_n_trials,run_name,best_trial,best_score,best_spatial_eps,best_temporal_eps,best_min_samples,cluster_variable,n_clusters_from_log,n_clustered_points,noise_percent,n_noise_points,n_clusters,cluster_ids,cluster_id,time_duration,time_duration_timesteps,time_end,time_end_timestep,time_iqr_50,time_iqr_68,time_iqr_90,time_mean,time_mean_shift_magnitude,time_median,time_median_activity_time,time_membership_peak,time_membership_peak_density,time_pooled_median_transition_time,time_pooled_std_transition_time,time_start,time_start_timestep,time_std,time_steepest_gradient,time_steepest_gradient_timestep,time_value_at_end,time_value_at_iqr_90_end,time_value_at_iqr_90_start,time_value_at_start,time_value_change,time_value_change_iqr_90,general_stats_error
TaiESM1,fFire,10,ASDETECT(),SpaceTimeDBSCAN,SpaceTimeDBSCAN,positive,local,True,"{'spatial_eps': (500.0, 2000.0), 'temporal_eps': (0.1, 0.5), 'min_samples': (10, 50)}",mean_spatial_autocorrelation,maximize,1000,TaiESM1/fFire/smooth10yr/SpaceTimeDBSCAN_sp500-2000_t0p1-0p5_ms10-50_mean_spatial_autocorrelation_n1000_positive_local,648,0.7037,821.5432357186734,0.4480936495153931,10,fFire_dts_cluster,4,109,24.8,27,4,"[0, 1, 2, 3]",0,0.33568028728205945,7,3.1851696519840402,82,"(2.943685996739873, 3.0875721502936244)","(2.8964151754798877, 3.0875721502936244)","(2.8494893647019808, 3.1851696519840402)",3.0161389828682132,0.2402688693057551,3.015284730148011,3.015284730148011,2.99130282902604,0.016098484848484848,2.99130282902604,0.08479595322378689,2.8494893647019808,75,0.10988526519170179,3.1851696519840402,81.0,0.42942293563430034,0.42942293563430034,0.16659758531815033,0.16659758531815033,0.26282535031615,0.26282535031615,'GeneralStats' object has no attribute 'all_stats'
TaiESM1,fFire,10,ASDETECT(),SpaceTimeDBSCAN,SpaceTimeDBSCAN,positive,local,True,"{'spatial_eps': (500.0, 2000.0), 'temporal_eps': (0.1, 0.5), 'min_samples': (10, 50)}",mean_spatial_autocorrelation,maximize,1000,TaiESM1/fFire/smooth10yr/SpaceTimeDBSCAN_sp500-2000_t0p1-0p5_ms10-50_mean_spatial_autocorrelation_n1000_positive_local,648,0.7037,821.5432357186734,0.4480936495153931,10,fFire_dts_cluster,4,109,24.8,27,4,"[0, 1, 2, 3]",1,0.5921509469513353,11,5.147172151250913,120,"(4.660276137901519, 4.874525231666837)","(4.555021204299578, 4.928770646810392)","(4.555021204299578, 5.147172151250913)",4.791436750859857,0.16722604267653418,4.766799916042032,4.766799916042032,4.874525231666837,0.003787878787878788,4.766799916042032,0.11581068797345008,4.555021204299578,109,0.19266923674369832,4.820524497989368,113.0,0.26642303196541645,0.26642303196541645,0.16816843680504012,0.16816843680504012,0.09825459516037632,0.09825459516037632,'GeneralStats' object has no attribute 'all_stats'
TaiESM1,fFire,10,ASDETECT(),SpaceTimeDBSCAN,SpaceTimeDBSCAN,positive,local,True,"{'spatial_eps': (500.0, 2000.0), 'temporal_eps': (0.1, 0.5), 'min_samples': (10, 50)}",mean_spatial_autocorrelation,maximize,1000,TaiESM1/fFire/smooth10yr/SpaceTimeDBSCAN_sp500-2000_t0p1-0p5_ms10-50_mean_spatial_autocorrelation_n1000_positive_local,648,0.7037,821.5432357186734,0.4480936495153931,10,fFire_dts_cluster,4,109,24.8,27,4,"[0, 1, 2, 3]",2,0.40601497608201953,8,4.1439715651197275,101,"(3.8903077734120757, 4.042486224513823)","(3.737956589037708, 4.042486224513823)","(3.737956589037708, 4.1439715651197275)",3.9772500473409553,0.1746530240627906,3.9917688420746344,3.9917688420746344,3.941046975360109,0.002840909090909091,3.966407908717372,0.1159746537644865,3.737956589037708,93,0.12640120800576637,4.093212361868609,99.0,0.35127710626612313,0.35127710626612313,0.17157658039414303,0.17157658039414303,0.1797005258719801,0.1797005258719801,'GeneralStats' object has no attribute 'all_stats'
TaiESM1,fFire,10,ASDETECT(),SpaceTimeDBSCAN,SpaceTimeDBSCAN,positive,local,True,"{'spatial_eps': (500.0, 2000.0), 'temporal_eps': (0.1, 0.5), 'min_samples': (10, 50)}",mean_spatial_autocorrelation,maximize,1000,TaiESM1/fFire/smooth10yr/SpaceTimeDBSCAN_sp500-2000_t0p1-0p5_ms10-50_mean_spatial_autocorrelation_n1000_positive_local,648,0.7037,821.5432357186734,0.4480936495153931,10,fFire_dts_cluster,4,109,24.8,27,4,"[0, 1, 2, 3]",3,0.46036672300004966,9,4.5028529475138726,108,"(4.194792068368201, 4.296744327004035)","(4.093212361868609, 4.347946202906257)","(4.042486224513823, 4.5028529475138726)",4.246248385401624,0.020842626705054476,4.245704565636572,4.245704565636572,4.194792068368201,0.002840909090909091,4.220248317002387,0.11192530857622497,4.042486224513823,99,0.14458081205994067,4.245704565636572,102.0,0.037410983792580677,0.037410983792580677,0.00891876544087955,0.00891876544087955,0.028492218351701126,0.028492218351701126,'GeneralStats' object has no attribute 'all_stats'
