model,variable,rolling_years,cluster_method,optimize,timestamp,optimize_objective,optimize_params,optimize_n_trials,best_trial,best_score,best_spatial_eps,best_temporal_eps,best_min_samples,cluster_variable,n_clusters_from_log,n_clustered_points,noise_percent,n_noise_points,n_clusters,cluster_ids,cluster_id,time_duration,time_duration_timesteps,time_end,time_end_timestep,time_iqr_50,time_iqr_68,time_iqr_90,time_mean,time_mean_shift_magnitude,time_median,time_median_activity_time,time_membership_peak,time_membership_peak_density,time_pooled_median_transition_time,time_pooled_std_transition_time,time_start,time_start_timestep,time_std,time_steepest_gradient,time_steepest_gradient_timestep,time_value_at_end,time_value_at_iqr_90_end,time_value_at_iqr_90_start,time_value_at_start,time_value_change,time_value_change_iqr_90,general_stats_error
GFDL-ESM4,grassFrac,1,SpaceTimeDBSCAN,True,2026-07-22T00:46:17.964064,combined_spatial_nonlinearity,"{'spatial_eps': (300.0, 500.0), 'temporal_eps': (0.3, 1.5), 'min_samples': (5, 10)}",3000,695,0.9198,429.6396022651832,0.30096318048137366,6,grassFrac_dts_cluster,4,140,73.6,103,4,"[0, 1, 2, 3]",0,0.37589611660314404,12,3.3276592514013146,126,"(3.1677201620158257, 3.2632609952426037)","(3.1677201620158257, 3.295407579135542)","(2.9517631347981705, 3.3276592514013146)",3.1785003222504025,6.80142879486084,3.23124900584088,3.23124900584088,3.2632609952426037,0.0035561877667140826,3.2472550005417418,0.1006079878216629,2.9517631347981705,114,0.13362194874076333,3.073911798873951,117.0,9.056615829467773,9.056615829467773,3.3725156784057617,3.3725156784057617,5.684100151062012,5.684100151062012,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,grassFrac,1,SpaceTimeDBSCAN,True,2026-07-22T00:46:17.964064,combined_spatial_nonlinearity,"{'spatial_eps': (300.0, 500.0), 'temporal_eps': (0.3, 1.5), 'min_samples': (5, 10)}",3000,695,0.9198,429.6396022651832,0.30096318048137366,6,grassFrac_dts_cluster,4,140,73.6,103,4,"[0, 1, 2, 3]",1,0.5760360191426344,19,3.903695270543949,145,"(3.5854371451728184, 3.7977065797741147)","(3.392357049355894, 3.852621763870957)","(3.3276592514013146, 3.903695270543949)",3.6406036763639946,19.07618522644043,3.6326761753964547,3.6326761753964547,3.617032454931973,0.0021337126600284497,3.617032454931973,0.1717527791234119,3.3276592514013146,126,0.19431587307817264,3.7977065797741147,140.0,46.038875579833984,46.038875579833984,20.44657325744629,20.44657325744629,25.592302322387695,25.592302322387695,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,grassFrac,1,SpaceTimeDBSCAN,True,2026-07-22T00:46:17.964064,combined_spatial_nonlinearity,"{'spatial_eps': (300.0, 500.0), 'temporal_eps': (0.3, 1.5), 'min_samples': (5, 10)}",3000,695,0.9198,429.6396022651832,0.30096318048137366,6,grassFrac_dts_cluster,4,140,73.6,103,4,"[0, 1, 2, 3]",2,0.27771785916644376,9,3.199395498428885,122,"(2.9517631347981705, 3.1362412096254957)","(2.921677639262441, 3.199395498428885)","(2.921677639262441, 3.199395498428885)",3.0443039218866943,9.666934967041016,3.0124421273184794,3.0124421273184794,3.0124421273184794,0.001422475106685633,3.0124421273184794,0.07361182330886681,2.921677639262441,113,0.10688502084896943,3.199395498428885,121.0,62.66447067260742,62.66447067260742,49.218204498291016,49.218204498291016,13.446266174316406,13.446266174316406,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,grassFrac,1,SpaceTimeDBSCAN,True,2026-07-22T00:46:17.964064,combined_spatial_nonlinearity,"{'spatial_eps': (300.0, 500.0), 'temporal_eps': (0.3, 1.5), 'min_samples': (5, 10)}",3000,695,0.9198,429.6396022651832,0.30096318048137366,6,grassFrac_dts_cluster,4,140,73.6,103,4,"[0, 1, 2, 3]",3,0.2702257684197775,9,2.772761068989894,108,"(2.5025353005701163, 2.7430769127539065)","(2.5025353005701163, 2.772761068989894)","(2.5025353005701163, 2.772761068989894)",2.622975515995347,7.466392517089844,2.563438438599917,2.563438438599917,2.5025353005701163,0.001422475106685633,2.563438438599917,0.09423999218775037,2.5025353005701163,99,0.11224465499560733,2.653717345063683,103.0,10.865509986877441,10.865509986877441,2.9538748264312744,2.9538748264312744,7.911635160446167,7.911635160446167,'GeneralStats' object has no attribute 'all_stats'
