model,variable,cluster_method,optimize,optimize_objective,optimize_params,optimize_n_trials,best_trial,best_score,best_spatial_eps,best_temporal_eps,best_min_samples,cluster_variable,n_clusters_from_log,n_clustered_points,noise_percent,n_noise_points,n_clusters,cluster_ids,cluster_id,time_duration,time_duration_timesteps,time_end,time_end_timestep,time_iqr_50,time_iqr_68,time_iqr_90,time_mean,time_mean_shift_magnitude,time_median,time_median_activity_time,time_membership_peak,time_membership_peak_density,time_pooled_median_transition_time,time_pooled_std_transition_time,time_start,time_start_timestep,time_std,time_steepest_gradient,time_steepest_gradient_timestep,time_value_at_end,time_value_at_iqr_90_end,time_value_at_iqr_90_start,time_value_at_start,time_value_change,time_value_change_iqr_90,general_stats_error
TaiESM1,fFire,SpaceTimeDBSCAN,True,combined_spatial_nonlinearity,"{'spatial_eps': (300.0, 1000.0), 'temporal_eps': (0.1, 0.8), 'min_samples': (9, 50)}",1000,130,0.842,706.087852950974,0.2832183628099316,9,fFire_dts_cluster,3,109,36.7,40,3,"[0, 1, 2]",0,0.33568028728205945,7,3.1851696519840402,82,"(2.943685996739873, 3.0392666312699816)","(2.8964151754798877, 3.0875721502936244)","(2.8494893647019808, 3.1851696519840402)",3.0161389828682132,0.24560728870598528,3.015284730148011,3.015284730148011,2.99130282902604,0.016098484848484848,2.99130282902604,0.08320993981801816,2.8494893647019808,75,0.10988526519170179,3.1851696519840402,81.0,0.44034337317428546,0.44034337317428546,0.16777718873812075,0.16777718873812075,0.2725661844361647,0.2725661844361647,'GeneralStats' object has no attribute 'all_stats'
TaiESM1,fFire,SpaceTimeDBSCAN,True,combined_spatial_nonlinearity,"{'spatial_eps': (300.0, 1000.0), 'temporal_eps': (0.1, 0.8), 'min_samples': (9, 50)}",1000,130,0.842,706.087852950974,0.2832183628099316,9,fFire_dts_cluster,3,109,36.7,40,3,"[0, 1, 2]",1,0.3737494425108139,7,4.928770646810392,116,"(4.660276137901519, 4.874525231666837)","(4.607491968047725, 4.874525231666837)","(4.555021204299578, 4.928770646810392)",4.732147517461347,0.1441725209435843,4.713538026971776,4.713538026971776,4.874525231666837,0.003787878787878788,4.766799916042032,0.11038742883153498,4.555021204299578,109,0.1367547008567481,4.660276137901519,110.0,0.3241874365200742,0.3241874365200742,0.16816843680504012,0.16816843680504012,0.15601899971503408,0.15601899971503408,'GeneralStats' object has no attribute 'all_stats'
TaiESM1,fFire,SpaceTimeDBSCAN,True,combined_spatial_nonlinearity,"{'spatial_eps': (300.0, 1000.0), 'temporal_eps': (0.1, 0.8), 'min_samples': (9, 50)}",1000,130,0.842,706.087852950974,0.2832183628099316,9,fFire_dts_cluster,3,109,36.7,40,3,"[0, 1, 2]",2,0.40601497608201953,8,4.1439715651197275,101,"(3.8903077734120757, 4.042486224513823)","(3.737956589037708, 4.042486224513823)","(3.737956589037708, 4.1439715651197275)",3.9772500473409553,0.1746530240627906,3.9917688420746344,3.9917688420746344,3.941046975360109,0.002840909090909091,3.966407908717372,0.1159746537644865,3.737956589037708,93,0.12640120800576637,4.093212361868609,99.0,0.35127710626612313,0.35127710626612313,0.17157658039414303,0.17157658039414303,0.1797005258719801,0.1797005258719801,'GeneralStats' object has no attribute 'all_stats'
