model,variable,rolling_years,cluster_method,optimize,timestamp,optimize_objective,optimize_params,optimize_n_trials,best_trial,best_score,best_spatial_eps,best_temporal_eps,best_min_samples,cluster_variable,n_clusters_from_log,n_clustered_points,noise_percent,n_noise_points,n_clusters,cluster_ids,cluster_id,time_duration,time_duration_timesteps,time_end,time_end_timestep,time_iqr_50,time_iqr_68,time_iqr_90,time_mean,time_mean_shift_magnitude,time_median,time_median_activity_time,time_membership_peak,time_membership_peak_density,time_pooled_median_transition_time,time_pooled_std_transition_time,time_start,time_start_timestep,time_std,time_steepest_gradient,time_steepest_gradient_timestep,time_value_at_end,time_value_at_iqr_90_end,time_value_at_iqr_90_start,time_value_at_start,time_value_change,time_value_change_iqr_90,general_stats_error
GFDL-ESM4,grassFrac,1,SpaceTimeDBSCAN,True,2026-07-22T00:20:09.623745,combined_spatial_nonlinearity,"{'spatial_eps': (300.0, 2000.0), 'temporal_eps': (0.1, 1.5), 'min_samples': (6, 7)}",300,263,0.8889,548.0885641905456,0.27689101151314727,7,grassFrac_dts_cluster,4,140,66.4,93,4,"[0, 1, 2, 3]",0,0.4122953014770019,13,3.4247374287954813,129,"(3.1677201620158257, 3.3276592514013146)","(3.073911798873951, 3.392357049355894)","(3.0124421273184794, 3.4247374287954813)",3.223181671333299,6.949427604675293,3.2472550005417418,3.2472550005417418,3.2632609952426037,0.0035561877667140826,3.2632609952426037,0.11561727523742404,3.0124421273184794,116,0.13757070257281268,3.3599851996569328,126.0,13.872933387756348,13.872933387756348,7.08912467956543,7.08912467956543,6.783808708190918,6.783808708190918,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,grassFrac,1,SpaceTimeDBSCAN,True,2026-07-22T00:20:09.623745,combined_spatial_nonlinearity,"{'spatial_eps': (300.0, 2000.0), 'temporal_eps': (0.1, 1.5), 'min_samples': (6, 7)}",300,263,0.8889,548.0885641905456,0.27689101151314727,7,grassFrac_dts_cluster,4,140,66.4,93,4,"[0, 1, 2, 3]",1,0.599355988628588,21,3.991713037984482,149,"(3.617032454931973, 3.8786824133397886)","(3.617032454931973, 3.903695270543949)","(3.392357049355894, 3.991713037984482)",3.752405714371747,20.434402465820312,3.8251641718225358,3.8251641718225358,3.7977065797741147,0.0021337126600284497,3.617032454931973,0.17791798735145362,3.392357049355894,128,0.18842678229174079,3.7977065797741147,140.0,68.68134307861328,68.68134307861328,42.15155029296875,42.15155029296875,26.52979278564453,26.52979278564453,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,grassFrac,1,SpaceTimeDBSCAN,True,2026-07-22T00:20:09.623745,combined_spatial_nonlinearity,"{'spatial_eps': (300.0, 2000.0), 'temporal_eps': (0.1, 1.5), 'min_samples': (6, 7)}",300,263,0.8889,548.0885641905456,0.27689101151314727,7,grassFrac_dts_cluster,4,140,66.4,93,4,"[0, 1, 2, 3]",2,0.23968105832858555,8,3.0124421273184794,116,"(2.772761068989894, 2.9517631347981705)","(2.772761068989894, 3.0124421273184794)","(2.772761068989894, 3.0124421273184794)",2.9100746396720636,11.286853790283203,2.921677639262441,2.921677639262441,2.921677639262441,0.001422475106685633,2.921677639262441,0.06850606998181821,2.772761068989894,108,0.07942698984052651,2.8024408109428123,108.0,48.614646911621094,48.614646911621094,38.74988555908203,38.74988555908203,9.864761352539062,9.864761352539062,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,grassFrac,1,SpaceTimeDBSCAN,True,2026-07-22T00:20:09.623745,combined_spatial_nonlinearity,"{'spatial_eps': (300.0, 2000.0), 'temporal_eps': (0.1, 1.5), 'min_samples': (6, 7)}",300,263,0.8889,548.0885641905456,0.27689101151314727,7,grassFrac_dts_cluster,4,140,66.4,93,4,"[0, 1, 2, 3]",3,0.3009238461319228,10,2.772761068989894,108,"(2.5025353005701163, 2.7430769127539065)","(2.5025353005701163, 2.7430769127539065)","(2.471837222857971, 2.772761068989894)",2.597785800472451,8.358551025390625,2.548252148831409,2.548252148831409,2.5025353005701163,0.001422475106685633,2.5330658590629014,0.10077956908136487,2.471837222857971,98,0.1169258781729886,2.653717345063683,103.0,13.781532287597656,13.781532287597656,4.078959941864014,4.078959941864014,9.702572345733643,9.702572345733643,'GeneralStats' object has no attribute 'all_stats'
