model,variable,rolling_years,cluster_method,optimize,timestamp,clustering_params,cluster_variable,n_clusters_from_log,n_clustered_points,noise_percent,n_noise_points,n_clusters,cluster_ids,cluster_id,time_duration,time_duration_timesteps,time_end,time_end_timestep,time_iqr_50,time_iqr_68,time_iqr_90,time_mean,time_mean_shift_magnitude,time_median,time_median_activity_time,time_membership_peak,time_membership_peak_density,time_pooled_median_transition_time,time_pooled_std_transition_time,time_start,time_start_timestep,time_std,time_steepest_gradient,time_steepest_gradient_timestep,time_value_at_end,time_value_at_iqr_90_end,time_value_at_iqr_90_start,time_value_at_start,time_value_change,time_value_change_iqr_90,general_stats_error
GFDL-ESM4,grassFrac,1,SpaceTimeDBSCAN,False,2026-07-22T01:38:36.769341,"{'spatial_eps': 500, 'temporal_eps': 1.0, 'min_samples': 12}",grassFrac_dts_cluster,2,125,60.0,75,2,"[0, 1]",0,1.519875815126511,51,3.991713037984482,149,"(2.772761068989894, 3.617032454931973)","(2.7430769127539065, 3.7977065797741147)","(2.5025353005701163, 3.903695270543949)",3.179270518400503,27.95030975341797,3.0584915571134843,3.0584915571134843,3.617032454931973,0.0021337126600284497,3.043071315353018,0.43678897288235463,2.471837222857971,98,0.5002988898319354,3.7977065797741147,140.0,67.45114135742188,51.41780471801758,21.32167625427246,22.66783905029297,44.783302307128906,30.096128463745117,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,grassFrac,1,SpaceTimeDBSCAN,False,2026-07-22T01:38:36.769341,"{'spatial_eps': 500, 'temporal_eps': 1.0, 'min_samples': 12}",grassFrac_dts_cluster,2,125,60.0,75,2,"[0, 1]",1,1.7950487149823857,58,3.852621763870957,143,"(2.7133595516650644, 3.3276592514013146)","(2.3472920765915433, 3.521560095353152)","(2.2839510021485694, 3.521560095353152)",2.958109007487174,22.585094451904297,3.0900811446671526,3.0900811446671526,3.521560095353152,0.0021337126600284497,3.2472550005417418,0.4551618552678708,2.057573048888571,85,0.5041861854035674,3.199395498428885,121.0,41.49794387817383,34.731773376464844,21.07598114013672,19.800647735595703,21.697296142578125,13.655792236328125,'GeneralStats' object has no attribute 'all_stats'
