model,variable,cluster_method,optimize,timestamp,optimize_objective,optimize_params,optimize_n_trials,best_trial,best_score,best_spatial_eps,best_temporal_eps,best_min_samples,cluster_variable,n_clusters_from_log,n_clustered_points,noise_percent,n_noise_points,n_clusters,cluster_ids,cluster_id,time_duration,time_duration_timesteps,time_end,time_end_timestep,time_iqr_50,time_iqr_68,time_iqr_90,time_mean,time_mean_shift_magnitude,time_median,time_median_activity_time,time_membership_peak,time_membership_peak_density,time_pooled_median_transition_time,time_pooled_std_transition_time,time_start,time_start_timestep,time_std,time_steepest_gradient,time_steepest_gradient_timestep,time_value_at_end,time_value_at_iqr_90_end,time_value_at_iqr_90_start,time_value_at_start,time_value_change,time_value_change_iqr_90,general_stats_error
GFDL-ESM4,cVeg,SpaceTimeDBSCAN,True,2026-07-18T20:25:58.808175,mean_spatial_autocorrelation,"{'spatial_eps': (300.0, 1000.0), 'temporal_eps': (0.2, 0.8), 'min_samples': (2, 50)}",1000,399,0.8508,343.0478386779399,0.5100704642000093,2,cVeg_dts_cluster,19,80,21.2,17,19,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",0,0.032087218220283376,1,2.2520251727823393,91,"(2.219937954562056, 2.219937954562056)","(2.219937954562056, 2.2520251727823393)","(2.219937954562056, 2.2520251727823393)",2.2359815636721976,-2.8015403747558594,2.2359815636721976,2.2359815636721976,2.219937954562056,0.007291666666666667,2.219937954562056,0.0,2.219937954562056,90,0.016043609110141688,2.2520251727823393,90.0,10.650988578796387,10.650988578796387,11.67740249633789,11.67740249633789,-1.026413917541504,-1.026413917541504,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,cVeg,SpaceTimeDBSCAN,True,2026-07-18T20:25:58.808175,mean_spatial_autocorrelation,"{'spatial_eps': (300.0, 1000.0), 'temporal_eps': (0.2, 0.8), 'min_samples': (2, 50)}",1000,399,0.8508,343.0478386779399,0.5100704642000093,2,cVeg_dts_cluster,19,80,21.2,17,19,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",1,0.41989200513330616,14,2.8917292279914477,112,"(2.6537173450638534, 2.7727610689900644)","(2.4718372228581416, 2.8917292279914477)","(2.4718372228581416, 2.8917292279914477)",2.7006808833137486,-4.272214889526367,2.713359551665235,2.713359551665235,2.7727610689900644,0.0020833333333333333,2.7430603103276496,0.0953910638942022,2.4718372228581416,98,0.13887459570278401,2.7727610689900644,107.0,20.089115142822266,20.089115142822266,25.331649780273438,25.331649780273438,-5.242534637451172,-5.242534637451172,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,cVeg,SpaceTimeDBSCAN,True,2026-07-18T20:25:58.808175,mean_spatial_autocorrelation,"{'spatial_eps': (300.0, 1000.0), 'temporal_eps': (0.2, 0.8), 'min_samples': (2, 50)}",1000,399,0.8508,343.0478386779399,0.5100704642000093,2,cVeg_dts_cluster,19,80,21.2,17,19,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",2,0.03175745598014146,1,2.3157084581288814,93,"(2.28395100214874, 2.28395100214874)","(2.28395100214874, 2.3157084581288814)","(2.28395100214874, 2.3157084581288814)",2.2998297301388106,-3.709840774536133,2.2998297301388106,2.2998297301388106,2.28395100214874,0.003125,2.28395100214874,0.01375138181918427,2.28395100214874,92,0.01587872799007073,2.3157084581288814,92.0,15.243456840515137,15.243456840515137,18.71151351928711,18.71151351928711,-3.4680566787719727,-3.4680566787719727,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,cVeg,SpaceTimeDBSCAN,True,2026-07-18T20:25:58.808175,mean_spatial_autocorrelation,"{'spatial_eps': (300.0, 1000.0), 'temporal_eps': (0.2, 0.8), 'min_samples': (2, 50)}",1000,399,0.8508,343.0478386779399,0.5100704642000093,2,cVeg_dts_cluster,19,80,21.2,17,19,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",3,0.38205606586871,12,3.709715317270195,138,"(3.327659251401485, 3.679237472435716)","(3.327659251401485, 3.709715317270195)","(3.327659251401485, 3.709715317270195)",3.519149310191125,-2.8434371948242188,3.5196113360464096,3.5196113360464096,3.679237472435716,0.0010416666666666667,3.648319895861107,0.15116087743803142,3.327659251401485,126,0.17602931534424648,3.3923570493561215,127.0,9.21411418914795,9.21411418914795,11.558733940124512,11.558733940124512,-2.3446197509765625,-2.3446197509765625,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,cVeg,SpaceTimeDBSCAN,True,2026-07-18T20:25:58.808175,mean_spatial_autocorrelation,"{'spatial_eps': (300.0, 1000.0), 'temporal_eps': (0.2, 0.8), 'min_samples': (2, 50)}",1000,399,0.8508,343.0478386779399,0.5100704642000093,2,cVeg_dts_cluster,19,80,21.2,17,19,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",4,0.22102961559176038,7,2.4409675701538163,97,"(2.219937954562056, 2.219937954562056)","(2.219937954562056, 2.4409675701538163)","(2.219937954562056, 2.4409675701538163)",2.330452762357936,-2.055619239807129,2.330452762357936,2.330452762357936,2.219937954562056,0.003125,2.219937954562056,0.04146984451104953,2.219937954562056,90,0.11051480779588019,2.2520251727823393,90.0,8.23870849609375,8.23870849609375,9.29089641571045,9.29089641571045,-1.0521879196166992,-1.0521879196166992,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,cVeg,SpaceTimeDBSCAN,True,2026-07-18T20:25:58.808175,mean_spatial_autocorrelation,"{'spatial_eps': (300.0, 1000.0), 'temporal_eps': (0.2, 0.8), 'min_samples': (2, 50)}",1000,399,0.8508,343.0478386779399,0.5100704642000093,2,cVeg_dts_cluster,19,80,21.2,17,19,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",5,0.09577050356682548,3,2.3157084581288814,93,"(2.219937954562056, 2.28395100214874)","(2.219937954562056, 2.3157084581288814)","(2.219937954562056, 2.3157084581288814)",2.2731991382798924,-3.006105422973633,2.28395100214874,2.28395100214874,2.219937954562056,0.0020833333333333333,2.251944478355398,0.04149386644424649,2.219937954562056,90,0.0398304679933298,2.2520251727823393,90.0,9.203474998474121,9.203474998474121,12.324137687683105,12.324137687683105,-3.1206626892089844,-3.1206626892089844,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,cVeg,SpaceTimeDBSCAN,True,2026-07-18T20:25:58.808175,mean_spatial_autocorrelation,"{'spatial_eps': (300.0, 1000.0), 'temporal_eps': (0.2, 0.8), 'min_samples': (2, 50)}",1000,399,0.8508,343.0478386779399,0.5100704642000093,2,cVeg_dts_cluster,19,80,21.2,17,19,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",6,0.03192582936640065,1,2.28395100214874,92,"(2.2520251727823393, 2.28395100214874)","(2.2520251727823393, 2.28395100214874)","(2.2520251727823393, 2.28395100214874)",2.2679880874655396,-2.9847822189331055,2.2679880874655396,2.2679880874655396,2.2520251727823393,0.0020833333333333333,2.2520251727823393,0.015049980293324345,2.2520251727823393,91,0.015962914683200324,2.28395100214874,91.0,13.436920166015625,13.436920166015625,16.795602798461914,16.795602798461914,-3.358682632446289,-3.358682632446289,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,cVeg,SpaceTimeDBSCAN,True,2026-07-18T20:25:58.808175,mean_spatial_autocorrelation,"{'spatial_eps': (300.0, 1000.0), 'temporal_eps': (0.2, 0.8), 'min_samples': (2, 50)}",1000,399,0.8508,343.0478386779399,0.5100704642000093,2,cVeg_dts_cluster,19,80,21.2,17,19,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",7,0.0646113247107678,2,2.219937954562056,90,"(2.155326629851288, 2.219937954562056)","(2.155326629851288, 2.219937954562056)","(2.155326629851288, 2.219937954562056)",2.1876549625917505,-2.7202491760253906,2.1877003033619076,2.1877003033619076,2.1877003033619076,0.0010416666666666667,2.1877003033619076,0.02637748234206779,2.155326629851288,88,0.02637748234206779,2.219937954562056,89.0,11.078441619873047,11.078441619873047,15.249747276306152,15.249747276306152,-4.1713056564331055,-4.1713056564331055,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,cVeg,SpaceTimeDBSCAN,True,2026-07-18T20:25:58.808175,mean_spatial_autocorrelation,"{'spatial_eps': (300.0, 1000.0), 'temporal_eps': (0.2, 0.8), 'min_samples': (2, 50)}",1000,399,0.8508,343.0478386779399,0.5100704642000093,2,cVeg_dts_cluster,19,80,21.2,17,19,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",8,0.015352928195227378,1,0.1193208243290087,11,"(0.10396789613378132, 0.1193208243290087)","(0.10396789613378132, 0.1193208243290087)","(0.10396789613378132, 0.1193208243290087)",0.11164436023139501,-0.6018829345703125,0.11164436023139501,0.11164436023139501,0.1193208243290087,0.0020833333333333333,0.1193208243290087,0.0072374397586102805,0.10396789613378132,10,0.007676464097613689,0.1193208243290087,10.0,2.4146671295166016,2.4146671295166016,3.215848922729492,3.215848922729492,-0.8011817932128906,-0.8011817932128906,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,cVeg,SpaceTimeDBSCAN,True,2026-07-18T20:25:58.808175,mean_spatial_autocorrelation,"{'spatial_eps': (300.0, 1000.0), 'temporal_eps': (0.2, 0.8), 'min_samples': (2, 50)}",1000,399,0.8508,343.0478386779399,0.5100704642000093,2,cVeg_dts_cluster,19,80,21.2,17,19,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",9,0.29031108951227225,9,3.5215600953533226,132,"(3.2312490058410503, 3.5215600953533226)","(3.2312490058410503, 3.5215600953533226)","(3.2312490058410503, 3.5215600953533226)",3.3764045505971865,-0.4384727478027344,3.3764045505971865,3.3764045505971865,3.5215600953533226,0.0020833333333333333,3.5215600953533226,0.0,3.2312490058410503,123,0.14515554475613612,3.3923570493561215,127.0,15.84994125366211,15.84994125366211,16.288414001464844,16.288414001464844,-0.4384727478027344,-0.4384727478027344,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,cVeg,SpaceTimeDBSCAN,True,2026-07-18T20:25:58.808175,mean_spatial_autocorrelation,"{'spatial_eps': (300.0, 1000.0), 'temporal_eps': (0.2, 0.8), 'min_samples': (2, 50)}",1000,399,0.8508,343.0478386779399,0.5100704642000093,2,cVeg_dts_cluster,19,80,21.2,17,19,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",10,0.3114132658177482,10,2.5634384386000875,101,"(2.2520251727823393, 2.5634384386000875)","(2.2520251727823393, 2.5634384386000875)","(2.2520251727823393, 2.5634384386000875)",2.3770573565037694,-4.719429016113281,2.3157084581288814,2.3157084581288814,2.3157084581288814,0.0010416666666666667,2.4077318056912134,0.1557066329088741,2.2520251727823393,91,0.13433123496461555,2.3157084581288814,92.0,9.683658599853516,9.683658599853516,14.403087615966797,14.403087615966797,-4.719429016113281,-4.719429016113281,'GeneralStats' object has no attribute 'all_stats'
