model,variable,cluster_method,optimize,timestamp,optimize_objective,optimize_params,optimize_n_trials,best_trial,best_score,best_spatial_eps,best_temporal_eps,best_min_samples,cluster_variable,n_clusters_from_log,n_clustered_points,noise_percent,n_noise_points,n_clusters,cluster_ids,cluster_id,time_duration,time_duration_timesteps,time_end,time_end_timestep,time_iqr_50,time_iqr_68,time_iqr_90,time_mean,time_mean_shift_magnitude,time_median,time_median_activity_time,time_membership_peak,time_membership_peak_density,time_pooled_median_transition_time,time_pooled_std_transition_time,time_start,time_start_timestep,time_std,time_steepest_gradient,time_steepest_gradient_timestep,time_value_at_end,time_value_at_iqr_90_end,time_value_at_iqr_90_start,time_value_at_start,time_value_change,time_value_change_iqr_90,general_stats_error
GFDL-ESM4,grassFrac,SpaceTimeDBSCAN,True,2026-07-18T20:35:33.317751,mean_spatial_autocorrelation,"{'spatial_eps': (300.0, 1000.0), 'temporal_eps': (0.2, 0.8), 'min_samples': (9, 50)}",1000,907,0.5998,922.973207204231,0.2500779228000422,14,grassFrac_dts_cluster,2,123,58.5,72,2,"[0, 1]",0,0.6724462647030123,22,3.9036952705440626,145,"(3.424737428795595, 3.7977065797742853)","(3.3923570493561215, 3.8526217638711273)","(3.2632609952427742, 3.9036952705440626)",3.5836241885060494,10.332862854003906,3.585437145172989,3.585437145172989,3.7977065797742853,0.005208333333333333,3.6170324549322004,0.19791543097474132,3.2312490058410503,123,0.21026273111025828,3.7977065797742853,140.0,45.961761474609375,45.961761474609375,34.686119079589844,33.368019104003906,12.593742370605469,11.275642395019531,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,grassFrac,SpaceTimeDBSCAN,True,2026-07-18T20:35:33.317751,mean_spatial_autocorrelation,"{'spatial_eps': (300.0, 1000.0), 'temporal_eps': (0.2, 0.8), 'min_samples': (9, 50)}",1000,907,0.5998,922.973207204231,0.2500779228000422,14,grassFrac_dts_cluster,2,123,58.5,72,2,"[0, 1]",1,0.3308348861200443,11,3.0739117988741214,118,"(2.7727610689900644, 3.01244212731865)","(2.7727610689900644, 3.01244212731865)","(2.743076912754077, 3.0739117988741214)",2.912541559587276,13.933544158935547,2.9216776392626116,2.9216776392626116,2.9216776392626116,0.003125,2.9216776392626116,0.09401033225656291,2.743076912754077,107,0.11328061258618458,2.802440810942983,108.0,54.668182373046875,54.668182373046875,41.173526763916016,41.173526763916016,13.49465560913086,13.49465560913086,'GeneralStats' object has no attribute 'all_stats'
